"","track","artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_s","time_signature","chorus_hit","sections","popularity","decade","genre"
"1","If You Ever Stop Loving Me","Montgomery Gentry",0.000279259280832336,0.00047245302323517,0.000436817472698908,0.000213166035066158,0.0005005005005005,0.000125475267885151,0.000123497010745939,6.73285560886564e-08,0.000448708528715182,0.000326356926341242,0.000479459684274577,0.000286083888877082,0.000343112026076514,44.8832,9,1,"00s","edm"
"2","Easy For You To Say","Linda Ronstadt",0.000301322655164462,0.00019859042332597,0.000187207488299532,0.000332907876215602,0,8.91056250198897e-05,0.000746002268164493,3.92205181098969e-06,0.000119388519247432,0.000228328073466354,0.000456175181302738,0.000342709479290892,0.000343112026076514,34.34368,11,1,"80s","edm"
"3","Chug-A-Lug","Roger Miller",0.000451983982746693,0.000172965852574232,0.000686427457098284,0.000505319549425301,0.0005005005005005,0.000342480803647875,0.000741986105213406,5.62160759575189e-07,0.000222751733897894,0.000540680877968326,0.000446175749189637,0.00016803407268711,0.000343112026076514,29.76933,7,1,"60s","edm"
"4","Unsent","Alanis Morissette",0.00024710979251981,0.000200191958997954,0.000124804992199688,0.000308524334291314,0.0005005005005005,0.000103047321451573,0.000390571846993254,0,0.000120189784477281,6.27141108454252e-05,0.000459896141270194,0.000352831622804426,0.000343112026076514,48.77043,12,1,"90s","edm"
"5","Cançó de la Nevera","Josep Maria Espinàs",0.000272955459594586,0.000224748839301702,0,0.000280272581750142,0.0005005005005005,0.000114261294668362,0.000721905290457969,5.92665606993998e-08,0.000985556232713704,0.000552249500357288,0.000462754232387258,0.000145116038523416,0.000257334019557386,24.4241,7,0,"70s","edm"
"6","Satisfaction","Smokey Robinson & The Miracles",0.000283671955698762,0.000230087291541648,0.000124804992199688,0.000427506348355299,0.0005005005005005,0.000109108928595783,0.000337357687891346,2.20070684949977e-09,0.000123394845396675,0.000460309396108169,0.000458792291029152,0.000291689586699674,0.000343112026076514,42.69824,9,1,"70s","edm"
"7","The Entertainer - The Sting/Soundtrack Version (Piano Version)","Marvin Hamlisch",0.000302583419412012,0.000174567388246215,0,0.000359950812938999,0.0005005005005005,0.000274590803632721,0.000948818497194409,0.00200024642360474,0.000117305229649826,0.000320877052578049,0.000440586535645205,0.000217247951381293,0.000343112026076514,81.32722,8,0,"70s","edm"
"8","Hottress","The Dreadnoughts",0.000263499727737961,0.000516228331602723,0.000561622464898596,0.000169061526514719,0.0005005005005005,0.000594037500132598,1.05424277466045e-06,3.94384098771741e-05,0.000416657919521241,0.000252074193106855,0.00045103683616662,0.000305216348598789,0.000343112026076514,29.1589,11,0,"00s","edm"
"9","Solitude","McCoy Tyner",0.000301953037288237,0.00013399515122263,0,0.000633074112566863,0.0005005005005005,0.000176089687539306,0.000896608378830273,0.00150998994723103,0.000326916213778204,0.000421341404903245,0.000478962174306784,0.00043635976554226,0.000343112026076514,20.66639,15,0,"10s","edm"
"10","Be-Bop","Dizzy Gillespie",0.000227567946682784,0.000297885634988955,6.2402496099844e-05,0.000402708355293487,0.0005005005005005,0.00020821620540362,0.000401616295108745,2.91974968151455e-09,0.000564090721813372,0.000422559154628399,0.000460290003328031,0.00108148203904647,0.000343112026076514,30.58962,32,0,"80s","edm"
"11","Sick, Sick, Sick","Bayside",0.00024458826402471,0.000475656094579138,0.000374414976599064,0.000115286491421069,0,0.000247313571483775,5.54230487250068e-07,5.36013747501925e-05,0.000538450234458219,0.000324530301753511,0.00044585444066877,0.00030209391988462,0.000343112026076514,48.07048,7,0,"10s","edm"
"12","Cançó de la Baixeta","Josep Maria Espinàs",0.000309517622773538,0.000328314812756644,0,0.000219900866050912,0.0005005005005005,0.000126384508956782,0.000725921453409056,1.50563211188549e-08,0.000326916213778204,0.000534592129342556,0.000466710991349867,0.000135977326014752,0.000343112026076514,27.03057,8,0,"70s","edm"
"13","Johnny Will","Pat Boone",0.000310148004897313,0.000302156396780911,0.000561622464898596,0.00024628758847323,0.0005005005005005,0.000223370223264145,0.000860462912270486,0,0.000149996851027647,0.000580866618898404,0.000483525273542641,0.000205923679867546,0.000343112026076514,18.7028,8,1,"60s","edm"
"14","Wall To Wall","Chris Brown",0.000375707745769915,0.000288276420957053,0.000436817472698908,0.000232196249797437,0,0.00033338839293156,3.99608213633201e-06,0,0.000203521368381529,0.00035253854543205,0.000487152950391136,0.000314905330966706,0.000343112026076514,40.69407,11,1,"00s","edm"
